package	files	bytes	lines	commits	bug_commits	commits_per_kloc	bugs_per_kloc	bugs_per_commit	cognitive_complexity	complexity_per_kloc	fan_in	fan_out	committers
victor.training.petclinic.chatbot	1	1400	33	20	3	606.06	90.91	0.150	0	0.00	0	0	1
victor.training.petclinic	1	1060	30	3	0	100.00	0.00	0.000	0	0.00	0	0	1
victor.training.petclinic.repository	7	3632	144	6	0	41.67	0.00	0.000	0	0.00	15	8	1
victor.training.petclinic.security	4	4648	117	4	1	34.19	8.55	0.250	0	0.00	0	0	2
victor.training.petclinic.mcp	3	17325	370	10	0	27.03	0.00	0.000	26	70.27	1	7	1
ro.victorrentea.petclinic.db	2	6430	193	5	0	25.91	0.00	0.000	16	82.90	1	1	1
victor.training.petclinic.rest.dto	13	12138	401	10	0	24.94	0.00	0.000	0	0.00	33	7	1
victor.training.petclinic.chatbot.triage	2	5927	136	3	0	22.06	0.00	0.000	4	29.41	1	1	1
victor.training.petclinic.model	8	8446	347	7	0	20.17	0.00	0.000	2	5.76	39	8	1
victor.training.petclinic.rest	11	32928	770	15	1	19.48	1.30	0.067	11	14.29	9	56	1
victor.training.petclinic.chatbot.assistant	9	41654	886	15	2	16.93	2.26	0.133	48	54.18	10	10	1
victor.training.petclinic.chatbot.diagram	1	5207	129	2	0	15.50	0.00	0.000	26	201.55	0	0	1
victor.training.petclinic.rest.error	3	9119	212	3	0	14.15	0.00	0.000	41	193.40	2	2	1
victor.training.petclinic.mapper	7	4861	165	1	0	6.06	0.00	0.000	0	0.00	14	25	1
victor.training.petclinic.chatbot.firefighter	12	31283	758	4	1	5.28	1.32	0.250	47	62.01	27	27	1
